,xc,yb,surf,airfoil,alpha,M,Re,chord,taper ratio,span,le sweep,cp,source,std,case
154,0.75,0.51,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.01,ARC-RM-2822/1_Wing_A,0,1
155,0.85,0.51,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.03,ARC-RM-2822/1_Wing_A,0,1
156,0.95,0.51,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.07,ARC-RM-2822/1_Wing_A,0,1
157,0.95,0.653,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.08,ARC-RM-2822/1_Wing_A,0,1
158,0.85,0.653,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.03,ARC-RM-2822/1_Wing_A,0,1
159,0.75,0.653,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.0,ARC-RM-2822/1_Wing_A,0,1
160,0.65,0.653,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.06,ARC-RM-2822/1_Wing_A,0,1
161,0.5,0.653,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.14,ARC-RM-2822/1_Wing_A,0,1
162,0.35,0.653,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.24,ARC-RM-2822/1_Wing_A,0,1
163,0.225,0.653,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.255,ARC-RM-2822/1_Wing_A,0,1
164,0.15,0.653,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.25,ARC-RM-2822/1_Wing_A,0,1
165,0.08,0.653,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.225,ARC-RM-2822/1_Wing_A,0,1
166,0.03,0.653,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.09,ARC-RM-2822/1_Wing_A,0,1
167,0.01,0.653,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.13,ARC-RM-2822/1_Wing_A,0,1
168,0.0,0.653,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.5,ARC-RM-2822/1_Wing_A,0,1
169,0.01,0.653,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.135,ARC-RM-2822/1_Wing_A,0,1
170,0.03,0.653,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.0445,ARC-RM-2822/1_Wing_A,0,1
171,0.08,0.653,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.18,ARC-RM-2822/1_Wing_A,0,1
172,0.15,0.653,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.23,ARC-RM-2822/1_Wing_A,0,1
173,0.225,0.653,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.25,ARC-RM-2822/1_Wing_A,0,1
174,0.35,0.653,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.24,ARC-RM-2822/1_Wing_A,0,1
175,0.5,0.653,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.145,ARC-RM-2822/1_Wing_A,0,1
176,0.65,0.653,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.04,ARC-RM-2822/1_Wing_A,0,1
